ID,Alpha,Beta,Gamma
1989,286000,0,58768252
2557,120000,0,30143827
2898,1563000,7,60071636
2594,265800,1,46711179
2749,180000,1,59485787
2816,787600,1,34265780
5993,348000,1,59726356
2249,0,0,55344920
2928,0,0,50867777
5969,175000,0,57961558
2655,120000,0,34478553
1162,31000,0,51816886
5921,75000,0,42489651
1756,270000,1,60762454
1778,61000,0,58406149
5932,19000,0,53839521
1028,0,0,39614659
2584,0,0,58705542
5996,0,0,60297547
4871,255000,0,45218225
1322,231000,1,35217308
1257,0,0,21861989
4609,470000,0,45248086
2097,170000,0,59770584
4872,0,0,41306843
0,0,0,13231036
1050,56000,0,58024993
2113,96000,0,33135040
0,0,0,0
2824,0,0,44449778
4763,222000,0,44536301
2235,0,0,41553837
4247,229000,0,50067102
2080,0,0,44375561
5890,1149000,4,54888333
4782,120000,0,34342159
1415,60000,0,46546853
2727,125000,0,60599797
1509,906000,4,48676391
1523,147000,0,61273631
4683,160000,0,49911644
4885,389000,2,33629935
3014,0,0,52361471
1010,270000,0,55184511
2889,186000,0,42066722
1730,1540000,7,54106829
2150,362000,1,49671643
4820,56000,0,57743584
1884,105000,0,42691532
2004,354000,3,41427287
1708,90000,0,61628383
2502,107000,0,38892177
2735,139000,0,46195920
4855,74000,0,50967053
2928,15000,0,48690329
2607,625000,0,61326422
1684,220000,1,43142630
2558,368000,1,64577371
2681,10000,0,39516718
1183,0,0,59978019
2557,352000,2,53445529
1346,0,0,14702692
2930,0,0,44844626
2172,425000,2,61660857
1924,185000,0,64588013
2513,165000,0,63297659
1233,673000,1,44700113
2584,1446000,8,54547992
2970,114000,0,61669899
1009,36000,0,61666269
1769,231000,1,55704119
4793,105000,0,60776163
1258,225000,1,49025724
1196,199000,0,37430276
1935,306000,0,47994991
2734,0,0,41856953
2852,0,0,46325298
1953,0,0,28815925
4201,99000,0,43555730
1401,90000,0,36808096
1413,5000,0,42950388
2622,0,0,61145356
1116,157000,1,34302851
1654,57000,0,60262239
1047,475000,0,54273616
2097,339000,1,39735552
2597,0,0,50435888
0,0,0,0
1331,90000,0,21855372
1907,313000,2,48223861
1509,631000,3,54675112
2128,0,0,31881064
4763,798000,0,30460997
1787,150000,0,45355659
1412,0,0,58333970
2727,270000,0,58645672
1112,176000,0,22857907
4566,456000,0,42024813
2169,445000,1,39524625
2073,35000,0,63870441
2784,195000,0,34786101
2030,394000,1,46049251
1059,0,0,26158496
3078,108000,0,36473186
1003,30000,0,43156319
1862,215000,2,34110150
1109,1169000,3,62605919
2725,275000,2,37504194
1255,938800,6,54464855
4263,196000,0,42585032
1642,299000,3,40796441
1039,69000,0,52544702
1863,0,0,61294788
1434,180000,0,63500019
1208,1731000,5,27880079
